,,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MHOXDV,,,,,,,,
Iranian Mujahideen,0.05%,FALSE,"20,000",103,1981,1981,1982,Iran,"40,199,906",FALSE,chill
SCIRI,0.05%,FALSE,"8,000",388,1989,1989,1996,Iraq,"16,994,948",FALSE,chill
Kabila-ADFL,0.05%,TRUE,"20,000",112,1996,1996,1997,Democratic Republic of Congo,"42,757,243",FALSE,chill
Sendero Luminoso (The Shining Path) Senderista Insurgency,0.05%,FALSE,"8,000",195,1980,1980,2012,Peru,"17,547,610",FALSE,chill
Anti-Al-Bashir Government,0.05%,FALSE,"16,000",323,2011,2011,2013,Sudan,"35,349,681",FALSE,chill
Casamance Conflict,0.04%,FALSE,"2,500",386,1982,1982,2013,Senegal,"5,909,739",FALSE,chill
2006 Lebanon War,0.04%,FALSE,"2,000",394,2006,2006,2006,Lebanon,"4,759,753",FALSE,chill
Second Balochistan Separatist Movement,0.04%,FALSE,"19,800",373,1962,1962,1969,Pakistan,"47,198,878",FALSE,chill
NDF,0.04%,FALSE,"3,000",389,1979,1979,1982,Yemen (North Yemen),"7,669,694",FALSE,chill
Second Hutu Rebellion,0.04%,FALSE,"2,001",192,1988,1988,1988,Burundi,"5,168,698",FALSE,chill
Poland Anti-Communist II,0.04%,FALSE,"12,000",172,1970,1970,1970,Poland,"32,664,300",FALSE,chill
Kyrgyz Anti-Interim Goverment ,0.04%,FALSE,"2,000",300,2010,2010,2010,Kyrgyzstan,"5,447,900",FALSE,chill
Tauregs,0.04%,FALSE,"3,001",220,1989,1989,1995,Mali,"8,296,915",FALSE,chill
Poland Anti-Communist I,0.03%,FALSE,"10,001",171,1968,1968,1968,Poland,"32,294,655",FALSE,chill
People's Alliance for Democracy Campaign,0.03%,TRUE,"20,001",284,2008,2008,2008,Thailand,"66,530,984",FALSE,chill
Civil Movement for Democracy,0.03%,FALSE,"20,001",308,2013,2013,2013,Thailand,"68,144,501",FALSE,chill
Anti-Chiluba,0.03%,TRUE,"3,000",12,2001,2001,2001,Zambia,"10,692,193",FALSE,chill
Anti-Abdelaziz Bouteflika Campaign,0.03%,FALSE,"10,000",317,2010,2010,2012,Algeria,"35,977,455",FALSE,chill
KDPI,0.03%,FALSE,"10,000",111,1979,1979,1996,Iran,"37,237,137",FALSE,chill
Anti-Mutharika,0.03%,TRUE,"4,000",302,2011,2011,2012,Malawi,"14,962,112",FALSE,chill
Al Qaeda in the Arabian Peninsula,0.03%,FALSE,"6,001",341,2009,2009,2013,Yemen,"22,516,460",FALSE,chill
Anti-Arap Moi,0.03%,TRUE,"6,000",7,1990,1990,1991,Kenya,"23,724,579",FALSE,chill
CAR multiple factions,0.02%,FALSE,800,49,1996,1996,1997,Central African Republic,"3,308,233",FALSE,chill
Kurdish rebellion (Turkey),0.02%,FALSE,"10,000",251,1978,1978,2013,Turkey,"42,039,992",FALSE,chill
"
Peoples’ Alliance for Freedom and Democracy",0.02%,FALSE,"12,000",382,1992,1992,2012,Ethiopia,"51,423,585",FALSE,chill
Anti-Military Government Campaign,0.02%,TRUE,"15,000",283,2007,2007,2007,Thailand,"66,182,067",FALSE,chill
Pro-Morsi Protests,0.02%,FALSE,"20,001",295,2013,2013,2013,Egypt,"88,404,640",FALSE,chill
RFDG,0.02%,FALSE,"1,800",348,2000,2000,2001,Guinea,"8,240,730",FALSE,chill
Shanti Bahini,0.02%,FALSE,"15,000",198,1976,1976,1997,Bangladesh,"71,652,381",FALSE,chill
GAM,0.02%,FALSE,"27,000",87,1976,1976,2005,Indonesia,"133,966,941",FALSE,chill
ERP/ Monteneros,0.02%,FALSE,"5,000",72,1973,1973,1977,Argentina,"25,056,478",FALSE,chill
MDJT,0.02%,FALSE,"1,500",363,1998,1998,2003,Chad,"7,770,048",FALSE,chill
ADF Insurgency,0.02%,FALSE,"4,000",427,1996,1996,2013,Uganda,"21,032,821",FALSE,chill
Pakistan Pro-Democracy Movement,0.02%,FALSE,"15,000",163,1983,1983,1983,Pakistan,"86,285,935",FALSE,chill
MFDC Secessionist Campaign (Casamance),0.02%,FALSE,999,305,1982,1982,1983,Senegal,"5,909,739",FALSE,chill
Chechen separatists,0.02%,FALSE,"25,000",55,1994,1994,2007,Russia,"148,336,000",FALSE,chill
Kifaya,0.01%,FALSE,"10,000",118,2003,2003,2005,Egypt,"72,826,097",FALSE,chill
Nigerian Muslim fundamentalists,0.01%,FALSE,"10,000",154,1980,1980,1984,Nigeria,"73,423,633",FALSE,chill
Pakistani Islamist Insurgency,0.01%,FALSE,"20,000",342,2007,2007,2013,Pakistan,"167,808,105",FALSE,chill
UPA,0.01%,FALSE,"1,500",398,1987,1987,1992,Uganda,"15,612,754",FALSE,chill
Anti-Habibie Student Protests ,0.01%,TRUE,"19,756",268,1999,1999,1999,Indonesia,"208,615,169",FALSE,chill
Cabinda Conflict ,0.01%,FALSE,"1,100",390,1991,1991,2013,Angola,"12,248,901",FALSE,chill
al-Gama'a al-Islamiyya,0.01%,FALSE,"5,000",384,1992,1992,1999,Egypt,"58,666,814",FALSE,chill
Military Forces of Hugo Chavez,0.01%,FALSE,"1,400",387,1992,1992,1992,Venezuela,"20,557,683",FALSE,chill
Russian Parliamentary Forces,0.01%,FALSE,"10,000",399,1993,1993,1993,Russia,"148,520,000",FALSE,chill
Patani insurgency,0.01%,FALSE,"4,237",354,2004,2004,2013,Thailand,"64,995,299",FALSE,chill
FLNC,0.01%,FALSE,"1,500",78,1977,1977,1978,Democratic Republic of Congo,"24,249,130",FALSE,chill
Naga Insurgency (Myanmar),0.00%,FALSE,"2,000",349,1988,1988,2013,Myanmar,"40,085,651",FALSE,chill
"Kivu Rebels (M23, APCLS, PARC-FAAL)",0.00%,FALSE,"3,000",294,2011,2011,2013,Democratic Republic of Congo,"66,755,153",FALSE,chill
PJAK,0.00%,FALSE,"3,000",385,2005,2005,2013,Iran,"69,762,347",FALSE,chill
Fourth Balochistan Separatist Movement,0.00%,FALSE,"5,000",375,2004,2004,2013,Pakistan,"156,664,697",FALSE,chill
Sikh insurgency,0.00%,FALSE,"20,000",201,1984,1984,1994,India,"766,833,410",FALSE,chill
Naxalite insurgency,0.00%,FALSE,"15,000",347,1980,1980,2013,India,"698,952,844",FALSE,chill
Mizo Revolt,0.00%,FALSE,"10,000",135,1966,1966,1986,India,"509,631,500",FALSE,chill
Caucasus Emirate,0.00%,FALSE,"2,001",343,2007,2007,2013,Russia,"142,805,088",FALSE,chill
Kashmiri Muslim separatists,0.00%,FALSE,"10,000",115,1990,1990,2013,India,"873,277,798",FALSE,chill
Sinai Insurgency,0.00%,FALSE,"1,000",319,2013,2013,2013,Egypt,"88,404,640",FALSE,chill
Tupac Amaru Revolutionary Movement (MRTA) - Senderista Insurgency,0.00%,FALSE,250,233,1996,1996,1997,Peru,"24,753,824",FALSE,chill
IRA,0.00%,FALSE,500,97,1968,1968,1998,UK,"55,211,700",FALSE,chill
Manipur Insurgency,0.00%,FALSE,"4,200",379,1979,1979,2013,India,"682,995,354",FALSE,chill
Naxalite rebellion,0.00%,FALSE,"3,001",148,1967,1967,1971,India,"520,400,576",FALSE,chill
Assam Independence Campaign,0.00%,FALSE,"4,000",351,1985,1985,2013,India,"784,360,008",FALSE,chill
Bodoland Independence Campaign,0.00%,FALSE,"3,501",352,1987,1987,2013,India,"819,682,102",FALSE,chill
Tripuri nationalists,0.00%,FALSE,"2,500",374,1989,1989,2013,India,"855,334,678",FALSE,chill
Boko Haram,0.00%,FALSE,51,334,2009,2009,2013,Nigeria,"154,324,933",FALSE,chill
